# animals|동물|🐾
snake|뱀 꿈
dog|개 꿈
puppy|강아지 꿈
cat|고양이 꿈
tiger|호랑이 꿈
lion|사자 꿈
pig|돼지 꿈
cow|소 꿈
horse|말 꿈
dragon|용 꿈
fish|물고기 꿈
carp|잉어 꿈
bird|새 꿈
mouse|쥐 꿈
spider|거미 꿈
bee|벌 꿈
butterfly|나비 꿈
ant|개미 꿈
cockroach|바퀴벌레 꿈
worm|지렁이 꿈
crocodile|악어 꿈
shark|상어 꿈
bear|곰 꿈
fox|여우 꿈
wolf|늑대 꿈
deer|사슴 꿈
monkey|원숭이 꿈
rabbit|토끼 꿈
chicken|닭 꿈
duck|오리 꿈
turtle|거북이 꿈
frog|개구리 꿈
whale|고래 꿈
eagle|독수리 꿈
magpie|까치 꿈
crow|까마귀 꿈
pigeon|비둘기 꿈
octopus|문어 꿈
crab|게 꿈
elephant|코끼리 꿈
giraffe|기린 꿈
goat|염소 꿈
sheep|양 꿈
toad|두꺼비 꿈
lizard|도마뱀 꿈
bat|박쥐 꿈
bug|벌레 꿈
fly|파리 꿈
mosquito|모기 꿈
moth|나방 꿈
centipede|지네 꿈
scorpion|전갈 꿈
caterpillar|애벌레 꿈
baby-animal|새끼 동물 꿈
dead-animal|죽은 동물 꿈
animal-bite|동물에게 물리는 꿈
