# places|장소|🏠
school|학교 꿈
hospital|병원 꿈
church|교회 꿈
temple|절 꿈
office|회사 꿈
military|군대 꿈
library|도서관 꿈
theater|극장 꿈
bathhouse|목욕탕 꿈
market|시장 꿈
department-store|백화점 꿈
restaurant|식당 꿈
bank|은행 꿈
courtroom|법원 꿈
hotel|호텔 꿈
prison|감옥 꿈
palace|궁궐 꿈
castle|성 꿈
airport|공항 꿈
station|역 꿈
amusement-park|놀이공원 꿈
beach|바닷가 꿈
island|섬 꿈
foreign-country|외국 꿈
hometown|고향 꿈
old-house|옛집 꿈
abandoned-house|폐가 꿈
unknown-place|낯선 곳 꿈
toilet|화장실 꿈
kitchen|부엌 꿈
room|방 꿈
basement|지하 꿈
rooftop|옥상 꿈
stairs|계단 꿈
elevator|엘리베이터 꿈
bridge|다리 꿈
tunnel|터널 꿈
maze|미로 꿈
road|길 꿈
crossroad|갈림길 꿈
garden|정원 꿈
farm|농장 꿈
grave|무덤 꿈
cemetery|묘지 꿈
funeral-home|장례식장 꿈
hell|지옥 꿈
heaven|천국 꿈
space|우주 꿈
